"","OBJECTID","GlobalID","CreationDate","Creator","Memorial","Is it a memorial?","Diameter at Breast Heigh (DBH)","Common Species Name","Height (ft)","SPECIES","SPECIES_BIN","x","y"
"36",38,"1927a899-d00b-43b3-b4a4-1ce66f19a114","2/20/2024 6:22:29 PM","msmit@macalester.edu_MacGIS",NA,"No",10.6,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1704444414033,44.9384176273789
"37",39,"7639ab13-0f21-49cb-973c-5a75443484f8","2/20/2024 6:23:05 PM","areynol1@macalester.edu_MacGIS",NA,"No",12.9,"White spruce",NA,"White spruce","Picea glauca",-93.169802219637,44.9394839138148
"38",40,"f870fb8f-0668-4e19-b693-5cebb21f669e","2/20/2024 6:23:21 PM","alane3@macalester.edu_MacGIS",NA,"No",10.6,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1678440180818,44.938573581044
"39",41,"273168c2-5b89-4c55-9c35-572cc50bd12b","2/20/2024 6:23:35 PM","msmit@macalester.edu_MacGIS",NA,"No",7.8,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1703778052738,44.9384161037932
"40",42,"06e37a31-79b2-43f4-858b-64cf229bf725","2/20/2024 6:24:04 PM","areynol1@macalester.edu_MacGIS",NA,"No",6.85,"White spruce",NA,"White spruce","Picea glauca",-93.1698520491858,44.9395115960069
"41",43,"15c2cbcb-40d3-4632-8fb4-bb90960065da","2/20/2024 6:24:29 PM","msmit@macalester.edu_MacGIS",NA,"No",6.1,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1703089619837,44.9384170016659
"42",44,"d80b0d76-cbe7-4106-89b0-c8c5bb7c721b","2/20/2024 6:24:34 PM","alane3@macalester.edu_MacGIS",NA,"No",14,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1677959618073,44.9384316944736
"43",45,"9cccab65-a173-4ad8-a7ce-0e0b2823fa4b","2/20/2024 6:25:37 PM","alane3@macalester.edu_MacGIS",NA,"No",14.6,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1677971916009,44.9383594748301
"44",46,"9064ad7b-f48e-4e50-9c1f-0d328d06495a","2/20/2024 6:25:37 PM","areynol1@macalester.edu_MacGIS",NA,"No",9,"White spruce",NA,"White spruce","Picea glauca",-93.1698899697689,44.9394889035286
"45",47,"0b66206c-aba2-4a65-8c4b-8217a4342b1c","2/20/2024 6:25:57 PM","msmit@macalester.edu_MacGIS",NA,"No",6,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1702532763176,44.9384159092117
"46",48,"96084281-645d-4f99-829e-787faf37be85","2/20/2024 6:26:16 PM","alane3@macalester.edu_MacGIS",NA,"No",14.4,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1678000715997,44.9382688944444
"47",49,"640ecc19-bb63-4012-8268-248e6a50299a","2/20/2024 6:26:38 PM","msmit@macalester.edu_MacGIS",NA,"No",6,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1702001795961,44.9384183592851
"48",50,"65c40d3c-69f6-4eaa-99f5-273ec425e7c6","2/20/2024 6:27:26 PM","msmit@macalester.edu_MacGIS",NA,"No",5.8,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1701469598054,44.9384178601136
"49",51,"3771709b-e076-4199-a607-8e08d53d12fc","2/20/2024 6:27:58 PM","areynol1@macalester.edu_MacGIS",NA,"No",11.78,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1696707395171,44.9394910972985
"50",52,"f48aa50a-9147-4364-8955-010c9f766af6","2/20/2024 6:28:31 PM","msmit@macalester.edu_MacGIS",NA,"No",7.6,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1701005240917,44.938416807761
"51",53,"e23b8cc1-3d0b-4b36-a9fa-d69cd6c98d40","2/20/2024 6:29:20 PM","msmit@macalester.edu_MacGIS",NA,"No",10,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1700569144779,44.9384158894992
"52",54,"adcbefb9-647a-4301-a553-1d97792b22b1","2/20/2024 6:30:20 PM","msmit@macalester.edu_MacGIS",NA,"No",11.6,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1700034831218,44.9384152606067
"53",55,"dc9f257f-a02b-4a01-a303-bfec359d44b5","2/20/2024 6:30:58 PM","alane3@macalester.edu_MacGIS",NA,"No",25,"American basswood",NA,"American basswood","Tilia americana",-93.1673574689643,44.9381830150492
"54",56,"4c8d575b-1687-40d4-8a09-02e335d53a43","2/20/2024 6:31:31 PM","msmit@macalester.edu_MacGIS",NA,"No",8.7,"White oak",NA,"White oak","Quercus alba",-93.1698298482219,44.9384483820546
"55",57,"2f944b42-f6bd-4a1c-b207-3a10698e71bd","2/20/2024 6:33:18 PM","alane3@macalester.edu_MacGIS",NA,"No",21.7,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1674892976306,44.9383678221291
"56",58,"cc14db13-caa4-4036-b29c-b76a93ea4580","2/20/2024 6:33:59 PM","msmit@macalester.edu_MacGIS",NA,"No",5.7,"Red maple",NA,"Red maple","Acer rubrum",-93.1697041119299,44.9383852320969
"57",59,"16085882-2deb-4700-8c42-05532e97c854","2/20/2024 6:35:37 PM","msmit@macalester.edu_MacGIS",NA,"No",5.7,"Red maple",NA,"Red maple","Acer rubrum",-93.1696787021837,44.938466314061
"58",60,"7901e7f4-0417-48a4-8616-0d8dad8a1cb7","2/20/2024 6:35:58 PM","alane3@macalester.edu_MacGIS",NA,"No",11.4,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.167577405292,44.9383746413888
"59",61,"5afbe897-5a44-4597-8221-c21d19420b10","2/20/2024 6:35:59 PM","msmit@macalester.edu_MacGIS",NA,"No",8,"Red maple",NA,"Red maple","Acer rubrum",-93.1694405848531,44.9382915683282
"60",62,"59720054-182f-43ab-b05b-bc7c601b3f3f","2/20/2024 6:36:58 PM","msmit@macalester.edu_MacGIS",NA,"No",8.7,"Red maple",NA,"Red maple","Acer rubrum",-93.169429820341,44.938245209488
"61",63,"1878b1e5-bb94-4bc3-97f9-66cbd69af5be","2/20/2024 6:37:38 PM","msmit@macalester.edu_MacGIS",NA,"No",5.5,"Red maple",NA,"Red maple","Acer rubrum",-93.1694432977652,44.9381775979038
"62",64,"1c78b316-1edb-4957-8a4a-410341dd4744","2/20/2024 6:38:12 PM","msmit@macalester.edu_MacGIS",NA,"No",8,"Red maple",NA,"Red maple","Acer rubrum",-93.1695253606631,44.9381932827607
"63",65,"7cd36ebc-70d6-4c9c-a157-dcb1ab6360f3","2/20/2024 6:39:10 PM","msmit@macalester.edu_MacGIS",NA,"No",5.1,"Red maple",NA,"Red maple","Acer rubrum",-93.169516920991,44.9382313216684
"64",66,"7daf7741-3ba9-425d-ab22-3a987031b23c","2/20/2024 6:39:30 PM","alane3@macalester.edu_MacGIS",NA,"No",10,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1675720306716,44.9385036170674
"65",67,"7197f7ba-7802-4679-a2b7-0a0ba250e812","2/20/2024 6:41:04 PM","alane3@macalester.edu_MacGIS",NA,"No",20.5,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1674809118574,44.9385105348734
"66",68,"408048d7-865c-483b-90f3-acbe61dac64f","2/20/2024 6:42:04 PM","alane3@macalester.edu_MacGIS",NA,"No",15.8,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1674834585812,44.938605803259
"67",69,"fadb688b-67e5-48ea-9c5e-c9dd1bccf6f8","2/20/2024 6:42:41 PM","alane3@macalester.edu_MacGIS",NA,"No",22.2,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1675728490368,44.9386080403028
"68",70,"c3d4a65a-7fa3-4fa8-b449-29ad1029af57","2/20/2024 6:43:41 PM","alane3@macalester.edu_MacGIS",NA,"No",21.3,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1675500156589,44.938728399233
"69",73,"b6732476-8e3c-4d9d-bf8a-aa51ffd4f10d","2/20/2024 6:44:51 PM","alane3@macalester.edu_MacGIS",NA,"No",17.2,"Honey locust",NA,"Honey locust","Gleditsia triacanthos",-93.1674513635728,44.9387225732658
"70",74,"e64cb6d3-40db-4429-a4e9-6f519445ff53","2/20/2024 6:45:33 PM","msmit@macalester.edu_MacGIS",NA,"No",9,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1699006219915,44.9381931504956
"71",75,"3e6f9b9a-5aa9-4936-b3b6-3a49cfd86d01","2/20/2024 6:46:13 PM","msmit@macalester.edu_MacGIS",NA,"No",8.3,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1699503688953,44.93819409352
"72",76,"271bb57c-ed1e-487b-b088-652a40f8de8b","2/20/2024 6:47:12 PM","msmit@macalester.edu_MacGIS",NA,"No",8.8,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1700032985302,44.9381951446456
"73",77,"1298c6de-2847-4fef-9252-d11a5065f85c","2/20/2024 6:47:31 PM","msmit@macalester.edu_MacGIS",NA,"No",8,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1700598932914,44.9381971426109
"74",78,"84704025-342e-4085-9f88-77e92d2c4cc5","2/20/2024 6:48:14 PM","msmit@macalester.edu_MacGIS",NA,"No",8,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1701092620045,44.9381978751557
"75",79,"9bf7c9ee-340d-4a45-a3f1-889233ba1d6e","2/20/2024 6:49:02 PM","msmit@macalester.edu_MacGIS",NA,"No",8.3,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1701684241508,44.9381971286213
"76",80,"83ffcdac-ada6-4560-b421-7965095a5ba5","2/20/2024 6:49:48 PM","alane3@macalester.edu_MacGIS",NA,"No",19.4,"Crabapple",NA,"Crabapple","Malus sp.",-93.1675471778809,44.9389306245341
"77",81,"24a1a863-e340-4c57-a67b-51884161598c","2/20/2024 6:49:52 PM","msmit@macalester.edu_MacGIS",NA,"No",7.9,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.170262215453,44.9381981466806
"78",82,"706db7d5-65f6-45dc-bed6-747336baaf12","2/20/2024 6:50:41 PM","msmit@macalester.edu_MacGIS",NA,"No",8.6,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1703431114392,44.9382008873648
"79",83,"cc667247-d7e3-457b-b3e9-9d2e5228a394","2/20/2024 6:51:23 PM","msmit@macalester.edu_MacGIS",NA,"No",9.1,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1704320015332,44.938197637333
"80",84,"07799654-f84a-47ab-9bf3-7e6d56a2b201","2/27/2024 6:13:48 PM","sbarney@macalester.edu_MacGIS",NA,"No",20.22,"Crabapple",NA,"Crabapple","Malus sp.",-93.1674121494157,44.9389425574852
"81",85,"9d404822-3058-417b-bb3d-d26f71075f38","2/27/2024 6:15:07 PM","sbarney@macalester.edu_MacGIS",NA,"No",6.23,"Norway maple",NA,"Norway maple","Acer platanoides",-93.1671929721644,44.9388607055044
"82",86,"30ed0767-15c1-42a7-869e-048cd9996360","2/27/2024 6:15:56 PM","sbarney@macalester.edu_MacGIS",NA,"No",14.2,"Norway maple",NA,"Norway maple","Acer platanoides",-93.1671883961464,44.9387336503607
"83",87,"11489be8-900e-4291-a034-735019aa37d6","2/27/2024 6:16:18 PM","sbarney@macalester.edu_MacGIS",NA,"No",6.15,"Norway maple",NA,"Norway maple","Acer platanoides",-93.167179223449,44.9386491038389
"84",88,"331f7c6c-1cfe-46ae-812e-251bf6ca6731","2/27/2024 6:17:48 PM","sbarney@macalester.edu_MacGIS",NA,"No",27.19,"American elm",NA,"American elm","Ulmus americana",-93.1672461129034,44.9383963544049
"85",89,"90955cd6-b875-4ce0-b5e2-ebb01748ef31","2/27/2024 6:18:11 PM","sbarney@macalester.edu_MacGIS",NA,"No",8.29,"Norway maple",NA,"Norway maple","Acer platanoides",-93.1671880449051,44.938340885918
"86",90,"e2aec4b1-e185-4b9b-a426-5ed166986452","2/27/2024 6:20:56 PM","sbarney@macalester.edu_MacGIS",NA,"No",9.46,"White spruce",NA,"White spruce","Picea glauca",-93.1673257251971,44.9389826485203
"87",91,"cbfed9df-0510-443d-aab8-21eb87cad547","2/27/2024 6:21:37 PM","sbarney@macalester.edu_MacGIS",NA,"No",8.9,"White spruce",NA,"White spruce","Picea glauca",-93.1672853872476,44.9389981309471
"88",92,"a656d49d-c5fe-42bc-8278-9030e2dfa87c","2/27/2024 6:23:08 PM","sbarney@macalester.edu_MacGIS",NA,"No",23.4,"Hackberry",NA,"Hackberry","Celtis occidentalis",-93.167260597339,44.9390647832939
"89",93,"b46e11d7-e41e-4627-8a9c-b92a52aed39a","2/27/2024 6:24:38 PM","sbarney@macalester.edu_MacGIS",NA,"No",11.17,"White fir",NA,"White fir","Abies concolor",-93.1673250173247,44.9391250691396
"90",94,"49105843-d8bc-4e46-823e-ca907216bd62","2/27/2024 6:25:19 PM","sbarney@macalester.edu_MacGIS",NA,"No",6.8,"White spruce",NA,"White spruce","Picea glauca",-93.1672977408794,44.9390266133111
"91",95,"9251e7f6-8991-44c4-8115-4b77ef1246f9","2/27/2024 6:25:50 PM","sbarney@macalester.edu_MacGIS",NA,"No",6.64,"White spruce",NA,"White spruce","Picea glauca",-93.1673051304209,44.9390051892231
"92",96,"38e8cf27-c218-421e-954b-c0e8401e2538","2/27/2024 6:27:19 PM","sbarney@macalester.edu_MacGIS",NA,"No",13.2,"Northern red oak",NA,"Northern red oak","Quercus rubra",-93.1673707011484,44.9390100937707
"93",98,"17796977-8f8c-414c-87ac-661873a0d753","2/27/2024 6:28:31 PM","sbarney@macalester.edu_MacGIS",NA,"No",8.98,"Northern red oak",NA,"Northern red oak","Quercus rubra",-93.1674091634156,44.9391824425975
"94",99,"9a3fc62b-6850-43b6-a03b-3adc5bf094f3","2/27/2024 6:29:03 PM","sbarney@macalester.edu_MacGIS",NA,"No",2.1,"Northern catalpa",NA,"Northern catalpa","Catalpa speciosa",-93.1675208931757,44.9390901618959
"95",100,"ede9abed-f2db-4a01-a9c0-5ba1f0ba077b","2/27/2024 6:29:42 PM","sbarney@macalester.edu_MacGIS",NA,"No",11.32,"Northern red oak",NA,"Northern red oak","Quercus rubra",-93.1674148722093,44.93897233771
"96",101,"ca47b0ff-a96e-42d7-8cf5-51a910e1a9dd","2/27/2024 6:30:06 PM","sbarney@macalester.edu_MacGIS",NA,"No",12,"Northern red oak",NA,"Northern red oak","Quercus rubra",-93.1675015587359,44.9389687869502
"97",102,"14c03203-9118-4e2b-b94b-eeb33d29733a","2/27/2024 6:30:43 PM","sbarney@macalester.edu_MacGIS",NA,"No",22.7,"Norway maple",NA,"Norway maple","Acer platanoides",-93.1676307346771,44.9390065143985
"98",103,"d3db42e2-da5e-4325-b162-ba70d9e6e441","2/27/2024 6:31:35 PM","sbarney@macalester.edu_MacGIS","Reid McLean ‘72","Yes",1.9,"American sycamore",NA,"American sycamore","Platanus occidentalis",-93.1677172541171,44.9391078323553
"99",104,"afbe0463-7d3a-43e8-b659-8201cf2e712b","2/27/2024 6:32:13 PM","sbarney@macalester.edu_MacGIS",NA,"No",22.56,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1677195367362,44.9391468200247
"100",105,"fa129f13-b5db-4253-8a81-3ab0b163b38b","2/27/2024 6:32:48 PM","sbarney@macalester.edu_MacGIS",NA,"No",16,"Norway maple",NA,"Norway maple","Acer platanoides",-93.167725217682,44.9390238465952
"101",106,"1451446b-f72b-48db-a765-0da5deca9c8a","2/27/2024 6:33:14 PM","sbarney@macalester.edu_MacGIS",NA,"No",9.5,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1677346005852,44.9389664450001
"102",107,"d1fb667e-658a-4ee0-8ecb-ab35e73e8522","2/27/2024 6:33:48 PM","sbarney@macalester.edu_MacGIS","Paul Pellowski","Yes",13.27,"Sugar maple",NA,"Sugar maple","Acer saccharum",-93.1678495786534,44.9390017293962
"103",108,"dc614e60-ff68-499e-9666-3ebf43e98527","3/13/2024 7:17:10 PM","areynol1@macalester.edu_MacGIS",NA,"No",4.28,"Pacific yew",NA,"Pacific yew","Taxus brevifolia",-93.1700403100182,44.9411119498138
"104",109,"a4ee8afd-0896-491b-ab97-a736e5166355","3/13/2024 7:21:06 PM","areynol1@macalester.edu_MacGIS",NA,"No",8.19,"Pacific yew",NA,"Pacific yew","Taxus brevifolia",-93.1700391772426,44.9411276294181
"105",110,"e766a527-ec6b-4985-b5a9-865127987e24","3/13/2024 8:33:01 PM","areynol1@macalester.edu_MacGIS",NA,"No",9.38,"Lilac",NA,"Lilac","Syringa sp.",-93.1703817363015,44.9411888007535
"106",111,"9f1ab367-6186-4953-93bf-cca97e63e862","3/13/2024 8:34:03 PM","areynol1@macalester.edu_MacGIS",NA,"No",0.73,"Black alder",NA,"Black alder","Alnus glutinosa",-93.170237709412,44.9412123268033
"107",112,"f9fea68b-5400-4bd4-846a-ac94a2e2fc31","3/13/2024 8:34:53 PM","areynol1@macalester.edu_MacGIS",NA,"No",5.78,"Colorado spruce",NA,"Blue spruce",NA,-93.1701146096754,44.9412088416751
"108",113,"8c242e70-751d-4e75-a4a8-93894b3b1b24","3/13/2024 8:35:57 PM","areynol1@macalester.edu_MacGIS",NA,"No",3.2,"White spruce",NA,"White spruce","Picea glauca",-93.1700521156777,44.9412039411306
"109",114,"fd30aef1-ba8d-4553-a0cf-7f3a2c84d09c","3/13/2024 8:36:36 PM","areynol1@macalester.edu_MacGIS",NA,"No",5.33,"Norway spruce",NA,"Norway spruce","Picea abies",-93.1699824818701,44.9411915953428
"110",115,"487f4c44-7c9a-4d35-ab99-2666a582d307","3/13/2024 8:37:42 PM","areynol1@macalester.edu_MacGIS",NA,"No",13.08,"White ash",NA,"White ash","Fraxinus americana",-93.1697851687146,44.9411780916573
"111",116,"3d70f48d-bb0c-487a-bda8-d999243cadc4","3/13/2024 8:38:45 PM","areynol1@macalester.edu_MacGIS",NA,"No",0.91,"Crabapple",NA,"Crabapple","Malus sp.",-93.1697551901369,44.9411626594151
"112",117,"703240e4-5057-4ba8-a828-7564c89469bf","3/13/2024 8:40:12 PM","areynol1@macalester.edu_MacGIS",NA,"No",0.89,"Northern red oak",NA,"Northern red oak","Quercus rubra",-93.1694212028025,44.9411842130487
"113",118,"8fefe2a8-415a-46f3-94d5-40e4bc568083","3/13/2024 8:40:48 PM","areynol1@macalester.edu_MacGIS",NA,"No",2.44,"Crabapple",NA,"Crabapple","Malus sp.",-93.1690253134602,44.9411722525857
"114",119,"3e287804-7b2e-4a99-982e-0965b7757f47","3/13/2024 8:41:18 PM","areynol1@macalester.edu_MacGIS",NA,"No",4.58,"Crabapple",NA,"Crabapple","Malus sp.",-93.1689408287043,44.9411525759973
"115",120,"058b8232-561b-4422-b75e-51a6b8f3500e","3/13/2024 8:41:54 PM","areynol1@macalester.edu_MacGIS",NA,"No",1.8,"Crabapple",NA,"Crabapple","Malus sp.",-93.1688803262716,44.9411892286849
"116",121,"13428f4a-cfcc-4fd4-baab-24bcf7c238c5","3/13/2024 8:44:12 PM","areynol1@macalester.edu_MacGIS",NA,"No",6.11,"Silver maple",NA,"Silver maple","Acer saccharinum",-93.1687674987702,44.9412062041433
